	id	label	text	size
1834	3976	CRITICAL	The Taliban Has No Plan to Stop Coronavirus – and No One Is Asking It for One 	78
2051	4048	CRITICAL	WATCH : Jen Psaki Mocks Free At - Home COVID Testing , Already the Norm in UK 	78
2510	7597	CRITICAL	Jeff Bezos Takes Private Jet to COP26 for Climate Change Chat with Prince Charles 	82
2191	4046	CRITICAL	San Jose Mayor : W.H. Is Wrong That Pandemic Is Root Cause of Smash and Grab Crime 	83
2205	4057	CRITICAL	A man in New Zealand was SHOT - yet his death was written down as COVID - 19 ! ! ! 	83
2977	7678	CRITICAL	China Mocks Biden ’s ' Absurd ' Attempt to Make Nice with John Kerry Climate Visit 	83
206	3242	CRITICAL	Pollak : No Clear Legal Basis for Biden 's New Vaccine Mandate on Private Employers 	84
2581	1906	CRITICAL	In Greece , Teachers Who Do n't Get Vaccinated Face Pay Cuts or Suspension : Report 	84
3758	3219	CRITICAL	Arizona AG Deems Tucson Vaccine Mandate a Violation of Law , Demands Them to Reverse 	85
249	3986	CRITICAL	Nolte : Joe Biden 's Failure Means We 're Going to Have to Live with the Coronavirus 	85
2697	3354	CRITICAL	Fauci : It Is ' When , Not If ' Definition of Fully Vaccinated Will Mean Three Shots 	85
2035	3551	CRITICAL	Bill de Blasio : ' We 're Looking Forward ' to Vaccinating Kids ' at a Younger Age ' 	85
1272	7594	CRITICAL	Prophet of Doom Boris Johnson to Fly Home on Private Jet from Glasgow Climate Summit 	85
3089	3194	CRITICAL	One of Fauci 's Top Doctors Opposes Vaccine Mandates , Will Debate Ethics at the NIH 	85
890	7601	CRITICAL	Ex - Japan Prime Minister Taro Aso Credits Global Warming for Improving Taste of Rice 	86
589	3259	CRITICAL	White House in July : Vaccine Mandates Are ‘ Not the Role of the Federal Government ’ 	86
349	4028	CRITICAL	Pope Francis Says Global Reset Is Real : No ‘ Return to Normality ’ After the Pandemic 	87
1454	4034	CRITICAL	Us and Them : Global Elites Drive Demand for Private Jets to New Highs During Pandemic 	87
1246	4154	CRITICAL	TX AG Paxton : No ' Respect ' for Biden on the COVID Issue - - Credibility Is ' Gone ' 	87
392	3176	CRITICAL	Report : Nets ' Kyrie Irving Refusing Vaccine to Protest Job Losses Due to Vax Mandates 	88
3647	3564	CRITICAL	Postal Workers Union : It Is Not the Role of Federal Government to Mandate Vaccinations 	88
2983	3954	CRITICAL	W.H.O. Says Global COVID Cases Dropping — While China , Russia Handle Renewed Outbreaks 	88
1583	3604	CRITICAL	More Rights For The Vaccinated : Merkel ’s Govt Pushes for Vaccine Passports in Germany 	88
3213	3196	CRITICAL	' This is a Free Country ' : UFC 's Dana White Refuses to Mandate Vaccines for Fighters 	88
3418	3963	CRITICAL	Outrage Builds as Biden Denies Life - Saving Coronavirus Meds in Feud with GOP Governors 	89
2135	4030	CRITICAL	Joe Biden Does Not Mention Coronavirus in Opening Remarks with ' Old Friend ' Xi Jinping 	89
56	3361	CRITICAL	Anthony Fauci : ' I ’m Not So Sure ' if Vaccines Should Be Required for Domestic Flights 	89
3088	7603	CRITICAL	Gavin Newsom and Entourage of 22 Democrats , Officials to Jet to Glasgow to Save Climate 	89
3222	7588	CRITICAL	Michael Rapaport Mocks Biden at Climate Change Summit : ' Wake Up , Sleepy F**king Joe ' 	89
3798	7658	CRITICAL	Rules for Thee and Not for Me : UK to Relax Travel Restrictions for UN Climate Conference 	90
3767	3185	CRITICAL	Florida Fire Chief Says He Was Fired for Refusing to Enforce ' Unlawful ' Vaccine Mandate 	90
2046	3600	CRITICAL	Anthony Fauci ' in Favor ' of Vaccine Mandates Despite Admitting People Can not Be Forced 	90
1732	4143	CRITICAL	DeSantis : Biden ' Loses All Credibility ' on COVID by Doing Nothing to Stop Border Surge 	90
995	3360	CRITICAL	Mike Lee : American People ' Have Right to Know ' If Senators Oppose Biden Vaccine Mandate 	91
2963	3578	CRITICAL	CNN 's Lemon to ' Selfish ' Unvaccinated : ' Do n't Go to the Hospital ' When You Get Sick 	91
3103	3589	CRITICAL	CNN Says Trump Wants His Supporters to Die - - After He Recommends ' Take the Vaccines ! ' 	91
3290	3980	CRITICAL	COVID - 1984 : NHS Admits Vax Pass App is Sharing User Facial Recognition Data With Police 	91
918	3358	CRITICAL	Broken Promises : One Year Ago , Joe Biden Said He ' Would n’t Demand ' Mandatory Vaccines 	91
3733	4072	CRITICAL	China Plans to Dump 2 Billion Doses of Its Low - Quality Coronavirus Vaccines on the World 	91
158	3244	CRITICAL	GOP Governors Slam Biden 's Vaccine Mandates After He Vowed to ' Get Them Out of the Way ' 	91
178	4142	CRITICAL	Texas Border City Urges NGO ’s to Open Tent Camps Despite 1500 Migrant COVID Cases Locally 	91
647	7684	CRITICAL	Greta Thunberg : Biden Admin ' Not Ready to Act as Seriously as We Need ' on Climate Crisis 	92
1651	3944	CRITICAL	Poll : Majority Say Joe Biden Has ' Fair ' or ' Poor ' Handling of the Coronavirus Pandemic 	92
379	3374	CRITICAL	Los Angeles : Hundreds of City Employees Could Soon Be on Unpaid Leave over Vaccine Mandate 	92
1262	3375	CRITICAL	Montana Leads 12 States in Lawsuit Against Biden ’s Vaccine Mandate for Health Care Workers 	92
1859	7598	CRITICAL	WATCH : Biden Admits ' Irony ' of Asking OPEC for Oil While Pushing Climate Change Policies 	92
835	3160	CRITICAL	Mayor Eric Garcetti to Unvaccinated L.A. City Workers : Get Vaccinated or ' Lose Your Job ' 	92
3567	4053	CRITICAL	Coronavirus Deaths in Joe Biden 's First 10 Months in Office Surpass Death Toll Under Trump 	92
443	3984	CRITICAL	GOP Rep. Gallagher : Biden Admin . ' Effectively Covering up for ' the CCP on COVID Origins 	92
742	4079	CRITICAL	L.A. Public Schools to Require Weekly COVID Tests for Staff , Students - - Vaccinated or Not 	93
2178	3970	CONSPIRACY	Rand Paul ' Stars ' in Chinese Rap Video Accusing U.S. of Starting Coronavirus Pandemic 	88
2133	4000	CONSPIRACY	"Why have so many African leaders died since the beginning of the pseudo - pandemic "" ? ? ? "	91
